id,productID,longDescription
1,1,"Libro usado
Tiene contac en la tapa, está escrito con lápiz y lapicera borrable.
Tiene el uso normal de un estudiante."
2,2,"Libro usado
Tiene contac en la tapa, está escrito con lápiz y lapicera borrable.
Tiene el uso normal de un estudiante."
3,3,"Libro usado con CD
Tiene contac en la tapa, está escrito con lápiz y lapicera borrable.
Hojas recortables, cortadas
Tiene el uso normal de un estudiante."
4,4,"LA CASA DEL MASCOTERO

MUÑECO DE LANA
TEJIDO A CROCHET
BAGNER CATFUN 

LOS COLORES DE LOS JUGUETES PUEDEN VARIAR SEGUN STOCK DEL FABRICANTE

Son juguetes interactivos especialmente diseñados para gatos. Hechos totalmente de lana. 
Sus fabricantes apoyan la conciencia del cuidado del medioambiente, por eso los materiales con los que están hechos son 100% reciclables y no contienen tóxicos, por lo que lo brindan ENTRETENIMIENTO SEGURO para tu mascota.

RECOMENDAMOS rociar los juguetes con Catnip para mejorar la experiencia.

FACTURAS: Confeccionamos A y B sólo a nombre del usuario que efectua la compra. 

AVISO LEGAL:
'Los contenidos de este sitio son incluidos solo a título explicativo. La información para el uso de los mismos es proporcionada por el fabricante junto con el producto, por lo que no se asume ninguna responsabilidad respecto errores u omisiones en los contenidos aquí publicados.’

Seguinos en redes y enterate de todo, somos LACASADELMASCOTERO"
5,5,"LA CASA DEL MASCOTERO

TE OFRECE ESTE SUPER COMBO DE PURA DIVERSION PARA TU GATO

RASCADOR RODAJA + CATNIP EN SPRAY o 4 SOBRES DE HIERBA GATERA + CAÑITA

Los productos Bagner son realizados 100% con materiales reciclables y libres de tóxicos, lo que brinda entretenimiento 100% seguro.

Los rascadores son especialmente diseñados para gatos. Hechos de cartón corrugado de alto gramaje con calidad premium. Pueden ser utilizados de ambos lados. Se apoya directamente sobre el piso.

AL MOMENTO DE REALIZAR TU COMPRA, NOS MANDAS UN MENSAJITO Y NOS DETALLAS TU ELECCIÓN (el catnip en spray o los 4 sobres de hierba gatera) El aroma cítrico de la hierba atraerá a tu gato. Una vez que la olfatee, sentirá felicidad y tendrá un comportamiento juguetón.
Están comprobados los efectos anti stress de esta planta.

La cañita es un juguete anti estrés. Especialmente diseñado para que vos y tu gato se diviertan afianzando el vínculo.


AVISO LEGAL:
'Los contenidos de este sitio son incluidos solo a título explicativo. La información para el uso de los mismos es proporcionada por el fabricante junto con el producto, por lo que no se asume ninguna responsabilidad respecto errores u omisiones en los contenidos aquí publicados.’"
6,6,"LA CASA DEL MASCOTERO

CAÑITA BAGNER
VARITA

MEDIDA: 
40CM APROXIMADAMENTE

Juguete anti estrés. Especialmente diseñado para que vos y tu gato se diviertan afianzando el vínculo. Confeccionado de materiales con calidad premium. 
Cuenta con sistema intercambiable de plumas.
Sus fabricantes apoyan la conciencia del cuidado del medioambiente, por eso los materiales con los que están hechos son 100% reciclables y no contienen tóxicos, por lo que lo brindan ENTRETENIMIENTO SEGURO para tu mascota.


AVISO LEGAL:
'Los contenidos de este sitio son incluidos solo a título explicativo. La información para el uso de los mismos es proporcionada por el fabricante junto con el producto, por lo que no se asume ninguna responsabilidad respecto errores u omisiones en los contenidos aquí publicados.’

Seguinos en redes y enterate de todo, somos LACASADELMASCOTERO"
7,7,"La casa del mascotero

RASCADOR CON POSTE BAGNER

Medidas Aproximadas: 
35 CM DE DIAMETRO X 40 CM DE ALTURA

Son rascadores especialmente diseñados para gatos. Su base está hecha con cartón corrugado de alto gramaje de calidad premium y el poste está cubierto con hilo de algodón trenzado color crudo. 
Se apoya directamente sobre el piso. Es ideal para que tu gato afile sus uñas, se frote y juegue libremente. 'Incentivando el impulso natural de rascarse y ayudando a eliminar material viejo de sus garras, además de marcar el territorio con las glándulas de sus patas, este rascador es ideal para todos los gatos, incluso los más aventureros.'(Web site de Bagner)

Sus fabricantes apoyan la conciencia del cuidado del medioambiente, por eso los materiales con los que están hechos son 100% reciclables y no contienen tóxicos, por lo que lo brindan ENTRETENIMIENTO SEGURO para tu mascota.


FACTURAS: Confeccionamos de tipo A y B sólo a nombre del usuario que efectúa la compra. VERIFICAR QUE LOS DATOS ESTÉN CORRECTAMENTE CARGADOS ANTES DE REALIZAR LA OPERACIÓN.

AVISO LEGAL:
“Los contenidos de este sitio son incluidos solo a título explicativo. La información para el uso de los mismos es proporcionada por el fabricante junto con el producto, por lo que no se asume ninguna responsabilidad respecto errores u omisiones en los contenidos aquí publicados.'

Seguinos en redes y enterate de todo, somos LACASADELMASCOTERO"
8,8,"LA CASA DEL MASCOTERO

-CATNIP HIERBA MINI-

CONTIENE 4 SOBRES CON HIERBA GATERA DE 4GR CADA UNO 

“Variedad herbácea 100% natural. Reforzador de conducta, produce efectos hormonales en felinos reduciendo niveles de ansiedad, relajándolos naturalmente. Es efectivo en el 90% de los gatos.'
 
El aroma cítrico de la hierba atraerá a tu gato. Una vez que la olfatee, sentirá felicidad y tendrá un comportamiento juguetón. 
Están comprobados los efectos anti stress de esta planta. Si tu gato es perezoso, al rociar un rascador con un poco de catnip, estimulará sus ganas de jugar y llamará su atención hacia los juguetes con esa esencia, lo que le dará más razones para usarlos más a menudo… y olvidar el sillón…


AVISO LEGAL:
“Los contenidos de este sitio son incluidos solo a título explicativo. La información para el uso de los mismos es proporcionada por el fabricante junto con el producto, por lo que no se asume ninguna responsabilidad respecto errores u omisiones en los contenidos aquí publicados.'"
9,9,"LA CASA DEL MASCOTERO

-EXTRACTO DE CATNIP- POLVO

CONT. NETO: 10GR. 

“Variedad herbácea 100% natural. Reforzador de conducta, produce efectos hormonales en felinos reduciendo niveles de ansiedad, relajándolos naturalmente. Es efectivo en el 90% de los gatos.'
 
El aroma cítrico de la hierba atraerá a tu gato. Una vez que la olfatee, sentirá felicidad y tendrá un comportamiento juguetón. 
Están comprobados los efectos anti stress de esta planta. Si tu gato es perezoso, al colocar sobre un rascador un poco de catnip, estimulará sus ganas de jugar y llamará su atención hacia los juguetes con esa esencia, lo que le dará más razones para usarlos más a menudo… y olvidar el sillón…


AVISO LEGAL:
“Los contenidos de este sitio son incluidos solo a título explicativo. La información para el uso de los mismos es proporcionada por el fabricante junto con el producto, por lo que no se asume ninguna responsabilidad respecto errores u omisiones en los contenidos aquí publicados.'"
10,10,"La selección de un alimento adecuado para tu mascota es muy importante para garantizar su crecimiento, desarrollo y salud. Con esta opción de Old Prince podrás cubrir las necesidades nutricionales y energéticas de tu perro. 

Tu mascota siempre saludable
Ellos son parte de la familia y nos regalan su compañía y su cariño. Para que se mantengan sanos y fuertes, una alimentación balanceada es esencial. Brindale a tu perro los nutrientes que necesita para que pueda correr, saltar y jugar todo el día.

Beneficios del alimento seco 
La mayor ventaja de la comida seca para mascotas es que se puede almacenar por mucho más tiempo sin que se deteriore, y evita la aparición de hongos o bacterias. Además, este tipo de alimento ayuda a eliminar el sarro y a retrasar la formación de la placa dental con el proceso de masticación y trituración."
