id,name,cost,priceML,priceEComm,priceLocal,quantity,quantityML,soldToDistribute,idMeli,filtroAnimal,filtroProducto,isDeleted,files,createdAt,updatedAt
1,Sentir Y Pensar 4 Proyecto De Educacion Emocional Usado,0,1500.00,0,0,0,0,,MLA1344847444,Perro,Alimento,False,"{""thumbnail"":""http://http2.mlstatic.com/D_808364-MLA53779972519_022023-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_808364-MLA53779972519_022023-O.jpg""]}",2023-11-07 19:37:58.405+00,2023-11-09 03:30:14.914+00
2,Libro De Ingles Big Surprise Class Book 2 - Oxford - Usado,0,2000.00,0,0,0,0,,MLA1345730157,Gato,Accesorios,False,"{""thumbnail"":""http://http2.mlstatic.com/D_809865-MLA53802874079_022023-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_809865-MLA53802874079_022023-O.jpg""]}",2023-11-07 19:37:58.428+00,2023-11-08 22:10:44.111+00
3,New English Adventure Pupil's Book Level 2 - Pearson - Usado,0,2500.00,0,0,0,0,,MLA1345235233,Perro,Ropa,False,"{""thumbnail"":""http://http2.mlstatic.com/D_813587-MLA53783337144_022023-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_813587-MLA53783337144_022023-O.jpg""]}",2023-11-07 19:37:58.438+00,2023-11-08 22:12:47.832+00
4,Juguete Gato Lana Crochet Animales Artesanal Interactivo ,0,250.00,0,0,10,10,,MLA927867901,Gato,Alimento,False,"{""thumbnail"":""http://http2.mlstatic.com/D_678204-MLA49636654144_042022-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_876145-MLA49636546640_042022-O.jpg"",""http://http2.mlstatic.com/D_955010-MLA49636495956_042022-O.jpg"",""http://http2.mlstatic.com/D_846361-MLA49636663051_042022-O.jpg"",""http://http2.mlstatic.com/D_914443-MLA49636584554_042022-O.jpg"",""http://http2.mlstatic.com/D_678085-MLA49636583562_042022-O.jpg"",""http://http2.mlstatic.com/D_622982-MLA49636583582_042022-O.jpg"",""http://http2.mlstatic.com/D_678204-MLA49636654144_042022-O.jpg"",""http://http2.mlstatic.com/D_715162-MLA49636542774_042022-O.jpg"",""http://http2.mlstatic.com/D_972908-MLA49636567662_042022-O.jpg"",""http://http2.mlstatic.com/D_854797-MLA49636520858_042022-O.jpg"",""http://http2.mlstatic.com/D_932538-MLA49636653192_042022-O.jpg"",""http://http2.mlstatic.com/D_850149-MLA49636679113_042022-O.jpg""]}",2023-11-07 19:37:58.448+00,2023-11-09 03:33:53.332+00
5,Super Oferta Para Gatos (rascador+caña+hierbaospray),0,3999.00,0,0,0,0,,MLA928184884,Perro,Accesorios,False,"{""thumbnail"":""http://http2.mlstatic.com/D_988514-MLA46606945536_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_988514-MLA46606945536_072021-O.jpg"",""http://http2.mlstatic.com/D_745399-MLA46606998065_072021-O.jpg"",""http://http2.mlstatic.com/D_617441-MLA48677747664_122021-O.jpg"",""http://http2.mlstatic.com/D_762809-MLA46606991140_072021-O.jpg"",""http://http2.mlstatic.com/D_989835-MLA46606945572_072021-O.jpg"",""http://http2.mlstatic.com/D_700487-MLA49219915333_022022-O.jpg""]}",2023-11-07 19:37:58.457+00,2023-11-09 03:35:02.591+00
6,Varita Cañita Juguete Para Gato Pluma Intercambiable Bagner,0,1800.00,0,0,0,0,,MLA928875813,Gato,Ropa,False,"{""thumbnail"":""http://http2.mlstatic.com/D_807119-MLA46579512043_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_807119-MLA46579512043_072021-O.jpg"",""http://http2.mlstatic.com/D_801178-MLA46579478197_072021-O.jpg"",""http://http2.mlstatic.com/D_913751-MLA46579478196_072021-O.jpg"",""http://http2.mlstatic.com/D_708503-MLA46579808547_072021-O.jpg"",""http://http2.mlstatic.com/D_991128-MLA53145073498_012023-O.jpg"",""http://http2.mlstatic.com/D_675694-MLA49022778948_022022-O.jpg""]}",2023-11-07 19:37:58.47+00,2023-11-09 03:34:47.477+00
7,Rascador Gato De Poste Juguete Entreteminiento Juego Bagner,0,3599.00,0,0,0,0,,MLA929272330,Perro,Alimento,False,"{""thumbnail"":""http://http2.mlstatic.com/D_919369-MLA46722255563_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_919369-MLA46722255563_072021-O.jpg"",""http://http2.mlstatic.com/D_886315-MLA53148735341_012023-O.jpg"",""http://http2.mlstatic.com/D_674855-MLA49182936999_022022-O.jpg""]}",2023-11-07 19:37:58.477+00,2023-11-08 22:30:19.832+00
8,Hierba Gatera Atrayente Catnip Deshidratado Gato Sobres ,0,2848.00,0,0,0,0,,MLA929224645,Gato,Accesorios,False,"{""thumbnail"":""http://http2.mlstatic.com/D_912319-MLA46582307880_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_912319-MLA46582307880_072021-O.jpg"",""http://http2.mlstatic.com/D_864902-MLA46626031244_072021-O.jpg"",""http://http2.mlstatic.com/D_759971-MLA48677747672_122021-O.jpg"",""http://http2.mlstatic.com/D_856359-MLA49022741714_022022-O.jpg""]}",2023-11-07 19:37:58.485+00,2023-11-09 03:28:07.953+00
9,Catnip Hierba Gatera Gatuna Extracto Atrayente Gato Bagner,0,4299.00,0,0,4,4,,MLA929222351,Perro,Ropa,False,"{""thumbnail"":""http://http2.mlstatic.com/D_908325-MLA46581697163_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_908325-MLA46581697163_072021-O.jpg"",""http://http2.mlstatic.com/D_609315-MLA46581757097_072021-O.jpg"",""http://http2.mlstatic.com/D_875173-MLA46581682368_072021-O.jpg"",""http://http2.mlstatic.com/D_833806-MLA49043189423_022022-O.jpg""]}",2023-11-07 19:37:58.492+00,2023-11-09 03:28:09.051+00
10,Alimento Old Prince Proteínas Noveles Para Perro Adulto De Raza Mediana Y Grande Sabor Cordero En Bolsa De 15 kg,0,27499.00,0,0,1,1,,MLA929519460,Gato,Alimento,False,"{""thumbnail"":""http://http2.mlstatic.com/D_638063-MLU72570643634_112023-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_638063-MLU72570643634_112023-O.jpg""]}",2023-11-07 19:37:58.501+00,2023-11-09 03:28:29.757+00
